"Assembly Service","Assembly Service"
"Product Class","Product Class"
"postcode","Postcode"
"class-id","Product Class"
"Postcode not available","Postcode not available"
"Please enter a valid postcode","Please enter a valid postcode"
"Postcode must be at least 4 characters long","Postcode must be at least 4 characters long"
